birds,state,category_name,spCode,imgLink
American Black Duck,KY,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,LA,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,MA,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,MD,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,ME,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,MI,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,MN,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,MO,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,MS,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,MT,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,NC,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,ND,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,NE,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,NH,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,NJ,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,NY,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,OH,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,OK,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,OR,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,PA,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,RI,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,SC,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,SD,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,TN,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,TX,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
American Black Duck,UT,waterfowl,ambduc,https://s3.amazonaws.com/com-aab-media/photo/75241811-1280px.jpg
